dataset,method,lr,epoch,forget_id,batch_size,N,ascent_epochs,relative_cost,retain_klom_95,retain_klom_99,retain_klom_mean,retain_klom_std,val_klom_95,val_klom_99,val_klom_mean,val_klom_std,forget_klom_95,forget_klom_99,forget_klom_mean,forget_klom_std,average_95
cifar10,ascent_forget,0.0001,1,6,64.0,100.0,,0.00034722222222222224,2.9452820649026217,5.096116399159703,0.8424331541643288,0.9604524857840331,2.332661898809077,5.460635572335057,0.7133534136317239,0.9388419739982108,9.767870823818946,9.950356159438613,6.834394104024823,2.670680685028991,5.015271595843548
cifar10,ascent_forget,0.0001,3,6,64.0,100.0,,0.0010416666666666667,8.392753373111713,9.42154353600661,2.3288921120991226,2.350135939532675,7.492885219652356,9.18556146312864,1.736551737319995,2.0837076108125885,9.681125977661168,9.913937724676272,7.901170646728622,2.8053855800836915,8.522254856808411
cifar10,ascent_forget,0.0001,5,6,64.0,100.0,,0.001736111111111111,9.392012408838527,9.738856671987456,3.318720455175264,2.8352633340928874,9.01580116925016,9.481176938770112,2.50509534771189,2.5478559184278144,9.691969774942311,9.862692275147253,7.793917774172273,2.9812522225486124,9.366594451010332
cifar10,ascent_forget,0.0001,7,6,64.0,100.0,,0.0024305555555555556,9.53217110575627,9.853094340492179,3.9444935876627127,3.1005740048360444,9.327090045407472,9.57661389225089,3.050390496610098,2.8127234721306316,9.699564441116234,9.873293013997746,7.668178865232294,3.0978443788208474,9.519608530759992
cifar10,ascent_forget,0.0001,10,6,64.0,100.0,,0.003472222222222222,9.647502771853702,9.951255999209227,4.478816727372265,3.3068425341844723,9.453070494973499,9.65466911929387,3.5608923009453823,3.042483997266293,9.726624006103638,9.86849089674341,7.481264796326882,3.2393923164428413,9.609065757643613
cifar10,ascent_forget,0.001,1,4,64.0,100.0,,6.944444444444445e-06,0.902275134262125,1.2819695799084616,0.42462902068701663,0.2481669867289331,0.7650672414343106,1.0347102678698714,0.38424775995459076,0.19886450087519428,9.964223759424897,9.98740885532083,9.470968754351059,0.40890855298422374,3.877188711707111
cifar10,ascent_forget,0.001,3,4,64.0,100.0,,2.0833333333333333e-05,2.646129783582079,4.020854371405018,0.9847535970933804,0.8446336150519063,1.7544794154306729,2.5464098788780585,0.7022601724894473,0.5234711697916418,9.944192636490442,9.965673297881988,6.650068146034178,3.1472425769752586,4.781600611834398
cifar10,ascent_forget,0.001,5,4,64.0,100.0,,3.472222222222222e-05,4.66904703720092,6.627084366823415,1.6219133770652372,1.491528313811575,3.294315837172154,4.645874121095548,1.1459580700449723,1.0177995919143326,9.594704060756404,9.810411392533968,3.7643569216419204,3.777206471740188,5.852688978376492
cifar10,ascent_forget,0.001,7,4,64.0,100.0,,4.861111111111111e-05,6.304085841703811,8.18024592016297,2.168653338195306,2.0045812552491187,4.862979296584798,6.361594145434155,1.597668250383091,1.5094988829269005,8.655514272221533,9.540595210314317,3.1027125411075085,3.0680216334419126,6.607526470170048
cifar10,ascent_forget,0.001,10,4,64.0,100.0,,6.944444444444444e-05,7.973217668054849,9.470944068927185,2.77569605574747,2.5439819676876483,6.647219264148409,8.166696799425258,2.1607086888251605,2.080952238527606,8.202725497920188,8.704604416043853,3.657103518498306,2.5213330314333944,7.607720810041148
cifar10,scrubnew,0.0005,5,6,64.0,100.0,5.0,0.1736111111111111,0.9102101053400151,1.3526246234696375,0.4264398700763992,0.26479034240303684,0.8377496365622752,1.3143528404445772,0.41201310507443306,0.3171207976556929,9.825158919417925,9.988172902423075,4.615008591085163,3.7182603840241697,3.857706220440072
cifar10,scrubnew,0.0005,7,6,64.0,100.0,5.0,0.2423611111111111,0.9102101053400151,1.3526246234696375,0.4264398700763992,0.26479034240303684,0.8377496365622752,1.3143528404445772,0.41201310507443306,0.3171207976556929,9.825158919417925,9.988172902423075,4.615008591085163,3.7182603840241697,3.857706220440072
cifar10,scrubnew,0.0005,10,6,64.0,100.0,5.0,0.3454861111111111,0.9102101053400151,1.3526246234696375,0.4264398700763992,0.26479034240303684,0.8377496365622752,1.3143528404445772,0.41201310507443306,0.3171207976556929,9.825158919417925,9.988172902423075,4.615008591085163,3.7182603840241697,3.857706220440072
